Iteration,Search Cost
1,No solution found.100001
2,No solution found.100001
3,85245
4,70955
5,No solution found.100001
6,No solution found.100001
7,7552
8,No solution found.100001
9,No solution found.100001
10,No solution found.100001
ution found.100001
