Iteration,Search Cost
1,No solution found.100001
2,No solution found.100001
3,17947
4,No solution found.100001
5,No solution found.100001
6,No solution found.100001
7,No solution found.100001
8,No solution found.100001
9,No solution found.100001
10,No solution found.100001
