Iteration,Search Cost
1,181818
2,30792
3,12868
4,37291
5,No solution found. Search cost: 1485504
6,25244
7,No solution found. Search cost: 1493506
8,No solution found. Search cost: 1483352
9,No solution found. Search cost: 1489667
10,No solution found. Search cost: 1491258
11,42314
12,No solution found. Search cost: 1482990
13,No solution found. Search cost: 1483909
14,No solution found. Search cost: 1491182
15,No solution found. Search cost: 1487238
16,26456
17,84284
18,65394
19,No solution found. Search cost: 1486673
20,208960
21,25764
22,No solution found. Search cost: 1486190
23,18746
24,No solution found. Search cost: 1485287
25,No solution found. Search cost: 1481087
26,No solution found. Search cost: 1488717
27,199356
28,133236
29,97189
30,No solution found. Search cost: 1485200
31,No solution found. Search cost: 1484982
32,78203
33,15881
34,172868
35,290053
36,No solution found. Search cost: 1478395
37,No solution found. Search cost: 1488634
38,No solution found. Search cost: 1488048
39,236622
40,280233
41,70215
42,No solution found. Search cost: 1485395
43,235855
44,69412
45,No solution found. Search cost: 1487133
46,13052
47,104725
48,78080
49,141274
50,463349
51,279327
52,No solution found. Search cost: 1478126
53,No solution found. Search cost: 1483049
54,No solution found. Search cost: 1491119
55,No solution found. Search cost: 1488953
56,No solution found. Search cost: 1480180
57,No solution found. Search cost: 1482608
58,No solution found. Search cost: 1489475
59,No solution found. Search cost: 1488305
60,No solution found. Search cost: 1484732
61,No solution found. Search cost: 1491516
62,No solution found. Search cost: 1473675
63,No solution found. Search cost: 1486937
64,No solution found. Search cost: 1492085
65,34773
66,33581
67,101104
68,No solution found. Search cost: 1492111
69,No solution found. Search cost: 1485601
70,No solution found. Search cost: 1484082
71,55775
72,49805
73,No solution found. Search cost: 1492951
74,194304
75,No solution found. Search cost: 1477508
76,No solution found. Search cost: 1490333
77,No solution found. Search cost: 1491255
78,47507
79,No solution found. Search cost: 1488372
80,172086
81,No solution found. Search cost: 1485918
82,19101
83,No solution found. Search cost: 1484724
84,No solution found. Search cost: 1487841
85,50644
86,102924
87,383312
88,137686
89,No solution found. Search cost: 1490477
90,40586
91,No solution found. Search cost: 1484665
92,219333
93,1740
94,No solution found. Search cost: 1494854
95,79064
96,No solution found. Search cost: 1482556
97,No solution found. Search cost: 1490517
98,No solution found. Search cost: 1487719
99,101451
100,99592
101,No solution found. Search cost: 1487148
102,132124
103,182082
104,180070
105,176586
106,No solution found. Search cost: 1485284
107,104987
108,No solution found. Search cost: 1489076
109,150540
110,106353
111,154893
112,No solution found. Search cost: 1481141
113,268745
114,No solution found. Search cost: 1492362
115,30727
116,No solution found. Search cost: 1490522
117,No solution found. Search cost: 1483355
118,No solution found. Search cost: 1487187
119,103113
120,No solution found. Search cost: 1486089
121,No solution found. Search cost: 1496235
122,No solution found. Search cost: 1481170
123,249074
124,150455
125,69738
126,122582
127,No solution found. Search cost: 1484582
128,145886
129,No solution found. Search cost: 1489080
130,No solution found. Search cost: 1482634
131,No solution found. Search cost: 1489332
132,76659
133,39457
134,No solution found. Search cost: 1490052
135,No solution found. Search cost: 1489369
136,No solution found. Search cost: 1486366
137,57030
138,240075
139,No solution found. Search cost: 1482356
140,No solution found. Search cost: 1485600
141,25691
142,85054
143,19145
144,No solution found. Search cost: 1486600
145,148500
146,143355
147,140482
148,382777
149,30474
150,No solution found. Search cost: 1484683
151,152670
152,337774
153,No solution found. Search cost: 1495153
154,No solution found. Search cost: 1486462
155,169802
156,40108
157,No solution found. Search cost: 1487690
158,131543
159,51186
160,34541
161,No solution found. Search cost: 1481585
162,No solution found. Search cost: 1480145
163,No solution found. Search cost: 1486399
164,No solution found. Search cost: 1482159
165,856
166,67942
167,331
168,40591
169,221177
170,175446
171,No solution found. Search cost: 1493625
172,No solution found. Search cost: 1477608
173,No solution found. Search cost: 1484614
174,32250
175,No solution found. Search cost: 1482010
176,382159
177,No solution found. Search cost: 1484443
178,190655
179,273603
180,278995
181,275991
182,158478
183,No solution found. Search cost: 1484328
184,No solution found. Search cost: 1485828
185,No solution found. Search cost: 1487955
186,No solution found. Search cost: 1484428
187,20549
188,No solution found. Search cost: 1490586
189,53512
190,No solution found. Search cost: 1486021
191,117584
192,No solution found. Search cost: 1493812
193,No solution found. Search cost: 1493827
194,No solution found. Search cost: 1490483
195,No solution found. Search cost: 1484342
196,86233
197,No solution found. Search cost: 1475614
198,No solution found. Search cost: 1484724
199,No solution found. Search cost: 1482901
200,No solution found. Search cost: 1488361
